epochs steps out_loss offset_loss train_accuracy time
218 0 0.556 2.094 0.809 3.540
218 1 0.312 2.083 0.895 3.927
218 2 0.147 1.795 0.965 4.137
218 3 0.426 2.015 0.854 4.335
218 4 0.374 2.014 0.887 4.531
218 5 0.305 2.062 0.913 4.729
218 6 0.450 1.998 0.862 4.961
218 7 0.467 2.098 0.865 5.197
218 8 0.539 1.882 0.813 5.415
218 9 0.321 2.146 0.893 5.658
218 10 0.436 1.902 0.849 5.872
218 11 0.634 2.010 0.767 6.087
218 12 0.459 2.092 0.835 6.301
218 13 0.340 1.906 0.892 6.549
218 14 0.416 1.894 0.857 6.796
218 15 0.369 1.806 0.885 7.013
218 16 0.415 2.045 0.847 7.221
218 17 0.543 1.743 0.837 7.424
218 18 0.591 1.784 0.791 7.652
218 19 0.309 2.116 0.903 7.877
218 20 0.468 2.097 0.853 8.106
218 21 0.312 2.043 0.911 8.311
218 22 0.350 1.903 0.890 8.526
218 23 0.306 1.921 0.893 8.749
218 24 0.370 2.104 0.875 9.002
218 25 0.227 1.779 0.927 9.233
218 26 0.674 1.984 0.753 9.489
218 27 0.497 2.012 0.816 9.691
218 28 0.217 1.764 0.935 9.944
218 29 0.316 1.860 0.896 10.144
218 30 0.509 1.850 0.834 10.455
218 31 0.400 2.074 0.864 10.692
218 32 0.508 1.904 0.849 10.895
218 33 0.704 1.976 0.740 11.078
218 34 0.582 1.900 0.805 11.267
218 35 0.572 2.066 0.783 11.472
218 36 0.418 1.945 0.860 11.661
218 37 0.352 2.024 0.873 11.859
218 38 0.325 1.999 0.894 12.040
218 39 0.473 2.186 0.827 12.239
218 40 0.458 1.871 0.843 12.441
218 41 0.431 2.032 0.851 12.645
218 42 0.593 1.761 0.803 12.830
218 43 0.709 1.921 0.741 13.012
218 44 0.251 1.886 0.921 13.196
218 45 0.425 1.849 0.861 13.387
218 46 0.346 1.897 0.886 13.574
218 47 0.372 1.710 0.857 13.770
218 48 0.282 1.951 0.922 13.983
218 49 0.222 1.757 0.924 14.180
219 0 0.727 1.987 0.775 22.718
219 1 0.367 2.121 0.869 22.924
219 2 0.763 2.192 0.723 23.186
219 3 1.082 2.021 0.636 23.400
219 4 0.608 1.966 0.800 23.631
219 5 0.625 1.913 0.778 23.828
219 6 0.522 1.681 0.821 24.101
219 7 0.564 1.827 0.805 24.289
219 8 0.620 1.992 0.766 24.604
219 9 0.455 2.064 0.840 24.862
219 10 0.642 1.997 0.754 25.074
219 11 0.583 1.702 0.824 25.307
219 12 0.454 1.872 0.861 25.522
219 13 0.754 2.127 0.764 25.735
219 14 0.466 1.792 0.859 25.951
219 15 0.272 1.751 0.919 26.144
219 16 0.630 2.217 0.772 26.345
219 17 0.445 1.849 0.851 26.520
219 18 0.522 1.913 0.805 26.750
219 19 0.599 2.209 0.804 26.968
219 20 0.570 2.217 0.816 27.148
219 21 0.668 2.024 0.753 27.370
219 22 0.734 2.116 0.718 27.599
219 23 0.282 1.894 0.909 27.794
219 24 0.608 1.940 0.771 28.012
219 25 0.619 2.344 0.782 28.239
219 26 0.395 1.843 0.869 28.478
219 27 0.372 2.019 0.878 28.678
219 28 0.445 2.111 0.842 28.894
219 29 0.387 2.187 0.873 29.127
219 30 0.309 2.046 0.904 29.342
219 31 0.364 2.109 0.883 29.626
219 32 0.442 1.990 0.849 29.854
219 33 0.501 2.058 0.835 30.043
219 34 0.426 2.005 0.867 30.258
219 35 0.541 1.922 0.814 30.456
219 36 0.422 1.903 0.867 30.643
219 37 0.426 1.898 0.872 30.829
219 38 0.443 2.021 0.815 31.011
219 39 0.548 2.139 0.804 31.203
219 40 0.664 1.867 0.747 31.396
219 41 0.430 1.785 0.824 31.575
219 42 0.429 1.793 0.824 31.776
219 43 0.462 1.954 0.840 31.980
219 44 0.542 1.904 0.814 32.175
219 45 0.394 2.034 0.876 32.372
219 46 0.434 1.758 0.863 32.561
219 47 0.656 2.017 0.749 32.741
219 48 1.086 1.927 0.644 32.925
219 49 0.382 1.811 0.873 33.128
220 0 0.280 1.717 0.909 39.763
220 1 0.406 1.973 0.878 40.011
220 2 0.594 2.159 0.777 40.230
220 3 0.526 1.966 0.826 40.476
220 4 0.395 1.904 0.852 40.670
220 5 0.437 2.228 0.866 40.871
220 6 0.306 1.979 0.887 41.076
220 7 0.892 1.894 0.706 41.279
220 8 0.453 1.886 0.864 41.460
220 9 0.574 1.969 0.781 41.669
220 10 0.341 1.954 0.903 41.930
220 11 0.472 1.881 0.844 42.185
220 12 0.195 1.861 0.943 42.380
220 13 0.445 1.940 0.838 42.671
220 14 0.491 1.921 0.846 42.912
220 15 0.493 1.988 0.817 43.130
220 16 0.481 2.149 0.825 43.340
220 17 0.350 1.911 0.871 43.547
220 18 0.564 1.973 0.824 43.742
220 19 0.673 1.989 0.752 43.972
220 20 0.506 2.022 0.811 44.187
220 21 0.382 1.787 0.855 44.398
220 22 0.434 1.905 0.876 44.633
220 23 0.591 1.967 0.800 44.839
220 24 0.856 1.971 0.715 45.048
220 25 0.707 2.248 0.764 45.249
220 26 0.506 1.989 0.798 45.497
220 27 0.603 1.920 0.795 45.725
220 28 0.473 1.948 0.828 45.933
220 29 0.547 1.795 0.831 46.157
220 30 0.419 1.942 0.837 46.378
220 31 0.544 2.196 0.785 46.597
220 32 0.503 1.837 0.809 46.829
220 33 0.309 1.860 0.889 47.015
220 34 0.484 2.168 0.846 47.200
220 35 0.586 1.884 0.776 47.390
220 36 0.349 1.952 0.907 47.581
220 37 0.544 2.004 0.813 47.776
220 38 0.248 1.917 0.920 47.980
220 39 0.357 1.952 0.872 48.164
220 40 0.923 2.002 0.692 48.360
220 41 0.503 1.963 0.814 48.550
220 42 0.692 2.148 0.762 48.734
220 43 0.437 1.956 0.850 48.959
220 44 0.506 1.998 0.813 49.172
220 45 0.476 1.972 0.842 49.375
220 46 0.568 1.990 0.813 49.574
220 47 0.244 1.845 0.925 49.770
220 48 0.572 1.948 0.816 49.954
220 49 0.405 1.786 0.861 50.154
221 0 0.742 2.398 0.710 57.119
221 1 0.318 1.962 0.901 57.376
221 2 0.529 1.922 0.798 57.596
221 3 0.413 2.029 0.863 57.864
221 4 0.311 2.094 0.898 58.068
221 5 0.493 1.979 0.832 58.262
221 6 0.504 2.027 0.810 58.519
221 7 0.281 2.090 0.918 58.765
221 8 0.349 1.898 0.887 59.035
221 9 0.578 1.937 0.793 59.276
221 10 0.453 1.822 0.856 59.554
221 11 0.549 1.855 0.827 59.784
221 12 0.300 2.012 0.901 60.002
221 13 0.231 1.884 0.950 60.200
221 14 0.654 1.911 0.781 60.419
221 15 0.523 2.069 0.819 60.631
221 16 0.438 1.801 0.837 60.836
221 17 0.490 1.822 0.830 61.066
221 18 0.316 1.785 0.893 61.280
221 19 0.412 2.167 0.861 61.509
221 20 0.477 1.987 0.835 61.718
221 21 0.607 2.190 0.797 61.937
221 22 0.404 1.851 0.887 62.161
221 23 0.422 1.718 0.845 62.375
221 24 0.354 2.126 0.865 62.560
221 25 0.325 1.855 0.884 62.805
221 26 0.209 1.968 0.961 63.007
221 27 0.253 1.929 0.916 63.224
221 28 0.397 2.132 0.882 63.436
221 29 0.546 1.999 0.801 63.654
221 30 0.380 1.863 0.867 63.861
221 31 0.463 2.149 0.868 64.069
221 32 0.500 1.904 0.828 64.269
221 33 0.571 1.960 0.806 64.463
221 34 0.268 1.890 0.924 64.648
221 35 0.381 2.076 0.884 64.842
221 36 0.747 2.219 0.754 65.040
221 37 0.276 1.937 0.905 65.237
221 38 0.466 1.856 0.830 65.432
221 39 0.756 2.177 0.752 65.620
221 40 0.409 2.023 0.868 65.816
221 41 0.400 2.086 0.855 66.014
221 42 0.309 1.834 0.893 66.225
221 43 0.437 1.943 0.859 66.432
221 44 0.400 1.986 0.871 66.618
221 45 0.334 1.787 0.885 66.816
221 46 0.686 2.245 0.776 67.010
221 47 0.358 1.866 0.865 67.206
221 48 0.391 1.968 0.871 67.394
221 49 0.547 1.836 0.812 67.585
222 0 0.597 1.895 0.796 76.390
222 1 0.227 1.913 0.936 76.574
222 2 0.706 2.203 0.727 76.794
222 3 0.435 1.982 0.857 76.994
222 4 0.465 2.006 0.847 77.207
222 5 0.717 2.176 0.750 77.429
222 6 0.220 1.762 0.939 77.625
222 7 0.526 1.932 0.818 77.875
222 8 0.391 1.914 0.860 78.088
222 9 0.438 1.978 0.852 78.389
222 10 0.547 2.077 0.822 78.675
222 11 0.369 1.940 0.866 78.870
222 12 0.531 1.908 0.810 79.090
222 13 0.254 1.818 0.916 79.325
222 14 0.364 1.902 0.883 79.544
222 15 0.612 1.932 0.820 79.777
222 16 0.578 1.906 0.798 79.998
222 17 0.519 1.871 0.824 80.202
222 18 0.279 2.011 0.918 80.406
222 19 0.533 2.080 0.844 80.704
222 20 0.280 1.892 0.897 80.933
222 21 0.390 2.052 0.864 81.203
222 22 0.366 2.257 0.879 81.445
222 23 0.463 2.263 0.845 81.730
222 24 0.344 1.892 0.894 82.022
222 25 0.320 2.091 0.893 82.273
222 26 0.398 2.112 0.859 82.513
222 27 0.384 1.879 0.870 82.730
222 28 0.623 2.177 0.797 82.953
222 29 0.435 2.065 0.830 83.156
222 30 0.266 1.870 0.916 83.464
222 31 0.397 2.001 0.871 83.710
222 32 0.394 1.858 0.858 83.952
222 33 0.552 2.082 0.819 84.166
222 34 0.474 2.016 0.828 84.382
222 35 0.256 1.899 0.917 84.610
222 36 0.357 1.838 0.877 84.821
222 37 0.444 1.967 0.850 85.015
222 38 0.344 1.761 0.871 85.212
222 39 0.694 2.127 0.751 85.405
222 40 0.493 1.978 0.836 85.601
222 41 0.390 1.848 0.857 85.803
222 42 0.413 2.156 0.828 85.993
222 43 0.660 1.997 0.742 86.185
222 44 0.580 2.349 0.850 86.382
222 45 0.793 1.913 0.706 86.575
222 46 0.213 1.789 0.933 86.816
