epochs steps out_loss offset_loss train_accuracy time
0 0 2.573 7.903 0.120 3.710
0 1 2.487 7.327 0.190 4.086
0 2 2.478 6.408 0.284 4.297
0 3 2.420 6.532 0.390 4.507
0 4 2.419 6.484 0.388 4.734
0 5 2.348 8.351 0.390 4.953
0 6 2.328 7.241 0.412 5.168
0 7 2.268 7.409 0.462 5.376
0 8 2.146 6.583 0.477 5.587
0 9 2.108 6.632 0.543 5.812
0 10 2.030 6.482 0.515 6.041
0 11 2.050 5.798 0.508 6.254
0 12 1.939 5.799 0.515 6.497
0 13 1.781 6.096 0.553 6.709
0 14 1.854 5.626 0.505 6.939
0 15 1.834 5.540 0.476 7.150
0 16 2.081 5.437 0.404 7.373
0 17 1.416 5.570 0.592 7.600
0 18 1.468 5.487 0.613 7.797
0 19 1.399 4.916 0.616 8.009
0 20 2.005 5.194 0.375 8.213
0 21 2.195 5.730 0.356 8.441
0 22 1.695 5.324 0.527 8.660
0 23 1.612 5.064 0.575 8.890
0 24 1.268 4.782 0.607 9.105
0 25 1.726 5.282 0.429 9.322
0 26 1.573 5.194 0.593 9.532
0 27 1.653 5.471 0.499 9.734
0 28 1.507 5.213 0.535 9.934
0 29 1.417 4.906 0.575 10.157
0 30 2.116 5.111 0.560 10.408
0 31 1.363 5.167 0.619 10.640
0 32 1.658 5.465 0.414 10.888
0 33 1.635 5.232 0.516 11.098
0 34 1.548 5.054 0.543 11.304
0 35 2.169 4.900 0.514 11.528
0 36 1.476 4.955 0.572 11.741
0 37 1.489 5.328 0.518 11.944
0 38 1.638 5.146 0.528 12.147
0 39 1.660 5.034 0.529 12.347
0 40 1.299 5.174 0.609 12.577
0 41 1.508 5.293 0.603 12.781
0 42 1.545 5.231 0.573 12.985
0 43 1.669 4.643 0.492 13.195
0 44 1.280 5.329 0.606 13.389
0 45 1.377 5.211 0.598 13.590
0 46 1.640 4.648 0.580 13.788
0 47 1.763 4.863 0.429 13.994
0 48 1.661 4.923 0.491 14.212
0 49 1.524 4.815 0.620 14.428
1 0 1.161 5.274 0.660 23.718
1 1 1.639 4.852 0.388 23.965
1 2 1.559 5.040 0.482 24.376
1 3 1.471 4.606 0.490 24.618
1 4 1.108 4.613 0.695 24.851
1 5 2.066 4.921 0.369 25.099
1 6 1.809 4.609 0.350 25.445
1 7 1.711 4.720 0.544 25.743
1 8 1.818 5.062 0.373 25.971
1 9 1.250 4.665 0.609 26.191
1 10 1.207 4.628 0.598 26.397
1 11 1.466 4.864 0.582 26.673
1 12 1.700 4.987 0.450 26.908
1 13 1.201 5.123 0.622 27.155
1 14 1.488 4.780 0.513 27.360
1 15 1.606 4.805 0.512 27.577
1 16 1.553 5.279 0.562 27.821
1 17 1.223 4.922 0.693 28.078
1 18 1.673 4.733 0.438 28.271
1 19 1.673 4.706 0.511 28.505
1 20 1.103 4.588 0.672 28.754
1 21 1.179 4.882 0.629 28.991
1 22 1.632 4.855 0.451 29.281
1 23 1.292 4.866 0.604 29.554
1 24 1.113 4.737 0.724 29.765
1 25 0.938 4.400 0.759 29.990
1 26 1.255 4.468 0.580 30.261
1 27 1.137 4.300 0.640 30.471
1 28 1.673 4.614 0.405 30.724
1 29 1.148 4.607 0.628 31.012
1 30 1.236 4.219 0.603 31.230
1 31 1.576 4.400 0.635 31.474
1 32 1.650 4.757 0.511 31.689
1 33 1.190 4.700 0.682 31.916
1 34 1.324 4.657 0.574 32.229
1 35 1.618 4.458 0.415 32.492
1 36 1.348 4.361 0.553 32.687
1 37 1.154 4.326 0.636 32.911
1 38 1.396 4.551 0.654 33.128
1 39 1.378 4.678 0.666 33.324
1 40 1.533 4.297 0.630 33.515
1 41 1.465 4.750 0.597 33.716
1 42 1.414 4.921 0.557 33.948
1 43 1.269 4.466 0.633 34.190
1 44 1.103 4.522 0.693 34.410
1 45 1.214 4.738 0.623 34.623
1 46 1.066 4.299 0.709 34.832
1 47 1.739 4.787 0.483 35.042
1 48 1.481 4.188 0.534 35.243
1 49 1.654 3.948 0.490 35.448
2 0 1.299 4.262 0.645 45.633
2 1 1.234 3.827 0.643 45.951
2 2 0.976 4.015 0.756 46.218
2 3 1.309 4.089 0.576 46.416
2 4 0.873 4.276 0.744 46.638
2 5 1.463 4.075 0.635 46.860
2 6 1.150 4.032 0.649 47.056
2 7 1.161 4.173 0.629 47.264
2 8 1.324 3.951 0.617 47.455
2 9 1.209 4.164 0.624 47.660
2 10 1.533 4.373 0.588 47.902
2 11 1.631 4.405 0.493 48.110
2 12 1.213 4.252 0.615 48.308
2 13 1.444 4.160 0.536 48.505
2 14 1.065 4.110 0.675 48.709
2 15 1.222 4.177 0.612 48.944
2 16 1.106 4.222 0.720 49.159
2 17 1.244 4.138 0.641 49.371
2 18 1.399 4.270 0.562 49.569
2 19 1.253 4.044 0.649 49.815
2 20 1.123 4.337 0.622 50.025
2 21 1.296 4.235 0.605 50.231
2 22 1.578 4.379 0.497 50.457
2 23 1.348 4.123 0.706 50.686
2 24 1.214 4.084 0.608 50.905
2 25 1.528 4.134 0.635 51.144
2 26 1.287 4.038 0.592 51.362
2 27 1.591 4.360 0.448 51.606
2 28 1.207 4.064 0.651 51.838
2 29 1.758 4.684 0.487 52.093
2 30 0.966 4.011 0.727 52.304
2 31 1.688 4.005 0.541 52.531
2 32 1.210 4.023 0.595 52.744
2 33 1.196 3.920 0.636 52.943
2 34 1.223 4.161 0.599 53.133
2 35 1.311 3.912 0.633 53.335
2 36 1.243 4.447 0.603 53.519
2 37 1.449 4.112 0.539 53.713
2 38 1.368 4.129 0.615 53.909
2 39 1.319 3.988 0.619 54.108
2 40 1.193 3.800 0.615 54.312
