epochs steps out_loss offset_loss train_accuracy time
0 0 2.576 7.726 0.058 3.989
0 1 2.623 6.579 0.039 4.198
0 2 2.613 6.436 0.031 4.390
0 3 2.552 6.690 0.079 4.713
0 4 2.518 6.850 0.183 4.934
0 5 2.534 7.157 0.085 5.136
0 6 2.498 6.800 0.151 5.467
0 7 2.437 6.475 0.222 5.699
0 8 2.478 6.368 0.303 6.116
0 9 2.386 7.287 0.378 6.336
0 10 2.357 6.642 0.464 6.567
0 11 2.308 6.240 0.562 6.737
0 12 2.402 5.813 0.455 6.938
0 13 2.188 6.200 0.579 7.128
0 14 2.253 5.263 0.528 7.337
0 15 2.247 5.709 0.455 7.557
0 16 2.606 5.230 0.473 7.753
0 17 2.242 4.830 0.652 7.975
0 18 2.247 4.995 0.586 8.157
0 19 2.127 4.608 0.690 8.346
0 20 2.009 4.888 0.615 8.547
0 21 2.323 4.757 0.422 8.738
0 22 2.288 4.928 0.470 8.974
0 23 2.199 4.742 0.424 9.178
0 24 2.477 4.380 0.531 9.380
0 25 1.850 5.016 0.647 9.590
0 26 1.838 4.503 0.472 9.799
0 27 1.913 4.193 0.530 9.992
0 28 1.950 4.659 0.599 10.198
0 29 2.088 4.922 0.635 10.415
0 30 1.828 4.535 0.591 10.644
0 31 1.584 4.826 0.673 10.855
0 32 1.565 4.865 0.691 11.062
0 33 1.939 4.691 0.553 11.253
0 34 1.950 4.633 0.554 11.445
0 35 1.808 4.740 0.606 11.626
0 36 1.956 4.713 0.533 11.817
0 37 2.095 4.775 0.548 11.993
0 38 2.411 4.834 0.284 12.194
0 39 2.406 4.455 0.553 12.376
0 40 1.495 4.159 0.522 12.577
0 41 1.872 4.439 0.671 12.771
0 42 1.585 4.656 0.730 12.970
0 43 2.396 4.743 0.525 13.174
0 44 1.651 4.296 0.589 13.359
0 45 1.669 4.408 0.601 13.538
0 46 1.693 4.404 0.482 13.729
0 47 2.487 4.323 0.399 13.916
0 48 1.738 4.318 0.546 14.107
0 49 1.501 4.232 0.658 14.294
1 0 1.661 4.624 0.530 25.367
1 1 2.506 4.548 0.450 25.562
1 2 1.896 4.620 0.422 26.229
1 3 1.960 4.380 0.509 26.412
1 4 2.070 4.195 0.412 26.615
1 5 1.626 4.401 0.628 26.866
1 6 1.645 4.560 0.494 27.103
1 7 1.841 4.590 0.515 27.316
1 8 2.431 4.389 0.338 27.536
1 9 1.618 4.444 0.545 27.745
1 10 1.540 4.559 0.615 27.960
1 11 1.889 4.388 0.395 28.153
1 12 2.151 4.636 0.388 28.348
1 13 1.804 4.197 0.584 28.583
1 14 1.623 4.239 0.505 28.778
1 15 1.459 4.465 0.665 29.024
1 16 1.572 4.095 0.661 29.219
1 17 1.925 4.138 0.449 29.420
1 18 1.582 4.287 0.658 29.599
1 19 1.461 4.536 0.647 29.780
1 20 1.664 4.575 0.580 29.993
1 21 1.783 4.185 0.528 30.200
1 22 2.047 4.353 0.519 30.468
1 23 1.978 4.727 0.427 30.739
1 24 1.410 4.408 0.712 30.962
1 25 1.886 5.022 0.491 31.155
1 26 1.307 4.025 0.642 31.407
1 27 1.756 4.225 0.539 31.641
1 28 1.848 4.188 0.440 31.863
1 29 2.103 4.502 0.471 32.060
1 30 1.730 4.192 0.527 32.284
1 31 2.093 4.304 0.468 32.495
1 32 1.806 3.978 0.461 32.713
1 33 2.095 4.313 0.460 32.900
1 34 1.759 4.553 0.489 33.111
1 35 1.717 3.954 0.612 33.300
1 36 1.703 4.190 0.499 33.498
1 37 2.088 4.580 0.321 33.699
1 38 1.602 4.150 0.535 33.880
1 39 2.142 3.973 0.512 34.074
1 40 1.749 4.358 0.490 34.264
1 41 1.545 4.115 0.591 34.459
1 42 1.986 4.009 0.447 34.636
1 43 1.473 4.442 0.606 34.845
1 44 1.665 4.244 0.513 35.041
1 45 1.616 4.160 0.570 35.225
1 46 1.546 3.944 0.609 35.414
1 47 1.991 4.257 0.479 35.590
1 48 1.521 4.112 0.634 35.774
1 49 1.756 4.132 0.639 35.966
2 0 1.552 4.211 0.612 47.727
2 1 1.767 4.413 0.572 47.999
2 2 1.454 4.148 0.571 48.226
2 3 1.989 3.884 0.570 48.441
2 4 1.549 3.948 0.645 48.657
2 5 1.816 4.394 0.559 48.845
2 6 2.051 4.356 0.525 49.076
2 7 1.507 4.485 0.635 49.323
2 8 1.789 4.026 0.571 49.522
2 9 1.948 3.972 0.632 49.744
2 10 2.302 3.855 0.426 49.973
2 11 2.300 4.397 0.535 50.186
2 12 1.874 4.283 0.561 50.382
2 13 1.943 4.010 0.531 50.579
2 14 1.322 3.809 0.716 50.788
2 15 2.370 4.238 0.293 51.000
2 16 1.689 4.189 0.538 51.180
2 17 2.067 4.118 0.616 51.369
2 18 1.351 3.696 0.647 51.599
2 19 1.386 3.794 0.673 51.792
2 20 2.305 4.146 0.379 52.014
2 21 1.594 4.039 0.539 52.218
2 22 2.077 4.017 0.457 52.425
2 23 1.748 4.701 0.495 52.649
2 24 1.423 4.211 0.683 52.859
2 25 1.369 4.037 0.679 53.106
2 26 1.664 4.017 0.485 53.321
2 27 1.749 4.107 0.521 53.536
2 28 1.620 3.874 0.641 53.741
2 29 1.740 4.243 0.414 53.957
2 30 1.533 4.035 0.647 54.159
2 31 1.572 3.686 0.560 54.366
2 32 1.716 3.957 0.583 54.587
2 33 1.630 3.873 0.543 54.775
2 34 1.523 3.779 0.587 54.959
2 35 1.623 3.901 0.609 55.159
2 36 1.944 3.980 0.507 55.360
2 37 1.543 3.782 0.576 55.552
2 38 1.467 4.078 0.546 55.737
2 39 1.903 3.815 0.452 55.935
2 40 1.648 3.790 0.639 56.120
2 41 1.501 3.727 0.569 56.317
2 42 1.742 3.779 0.545 56.527
2 43 1.594 3.905 0.570 56.735
2 44 1.595 3.832 0.589 56.916
2 45 1.554 3.828 0.554 57.109
2 46 1.997 3.816 0.546 57.312
2 47 2.170 3.987 0.514 57.502
2 48 1.513 3.981 0.583 57.710
2 49 1.474 3.890 0.649 57.916
3 0 1.722 3.839 0.517 67.814
3 1 1.763 3.772 0.578 68.025
3 2 1.708 3.723 0.546 68.586
3 3 1.825 3.715 0.531 68.787
3 4 1.137 3.506 0.804 68.982
3 5 1.393 3.685 0.630 69.311
3 6 1.615 3.638 0.654 69.569
3 7 1.834 3.774 0.614 69.770
3 8 1.659 3.725 0.482 69.966
3 9 1.466 4.033 0.667 70.145
3 10 1.645 3.948 0.620 70.339
3 11 1.805 4.427 0.485 70.561
3 12 1.517 3.940 0.595 70.770
3 13 1.349 3.665 0.598 70.970
3 14 1.864 3.650 0.425 71.186
3 15 2.028 4.161 0.438 71.381
3 16 1.488 3.728 0.602 71.589
