epochs steps out_loss offset_loss train_accuracy time
0 0 2.597 8.001 0.047 2.924
0 1 2.553 6.972 0.131 3.131
0 2 2.513 6.602 0.199 4.115
0 3 2.501 6.710 0.287 4.659
0 4 2.540 7.077 0.221 5.024
0 5 2.473 6.858 0.262 5.227
0 6 2.434 7.153 0.231 5.436
0 7 2.404 6.785 0.372 5.653
0 8 2.346 6.491 0.435 5.865
0 9 2.383 6.273 0.434 6.069
0 10 2.280 6.392 0.534 6.281
0 11 2.237 5.806 0.589 6.486
0 12 2.274 6.059 0.577 6.720
0 13 2.325 6.054 0.473 6.937
0 14 2.187 5.064 0.605 7.160
0 15 2.205 5.428 0.569 7.384
0 16 2.035 5.738 0.544 7.587
0 17 1.897 5.333 0.642 7.820
0 18 2.030 4.914 0.540 8.030
0 19 1.891 4.661 0.590 8.273
0 20 2.069 4.323 0.511 8.479
0 21 1.825 4.600 0.577 8.700
0 22 2.289 4.594 0.433 8.908
0 23 2.392 5.094 0.460 9.094
0 24 1.726 4.765 0.671 9.341
0 25 1.741 4.388 0.581 9.551
0 26 1.994 4.460 0.541 9.814
0 27 1.783 4.706 0.559 10.030
0 28 1.862 4.820 0.590 10.258
0 29 2.089 4.997 0.526 10.489
0 30 1.646 4.816 0.650 10.729
0 31 1.770 4.794 0.550 10.978
0 32 1.933 4.374 0.587 11.202
0 33 2.045 4.692 0.435 11.416
0 34 2.728 5.410 0.207 11.619
0 35 2.375 4.656 0.597 11.810
0 36 1.254 4.455 0.750 12.028
0 37 1.769 4.559 0.512 12.232
0 38 1.567 4.665 0.574 12.438
0 39 1.751 4.731 0.565 12.636
0 40 1.628 4.734 0.612 12.833
0 41 1.261 4.609 0.747 13.042
0 42 2.436 4.677 0.494 13.245
0 43 1.912 4.622 0.560 13.465
0 44 2.527 4.898 0.489 13.685
0 45 1.850 4.646 0.635 13.895
0 46 1.624 4.560 0.523 14.107
0 47 2.287 4.672 0.427 14.316
0 48 1.387 4.646 0.668 14.546
0 49 2.308 5.028 0.316 14.785
1 0 1.764 4.793 0.447 25.481
1 1 1.526 4.702 0.508 25.695
1 2 1.784 4.699 0.500 26.291
1 3 1.871 4.744 0.452 26.571
1 4 1.769 5.108 0.603 26.786
1 5 1.156 5.041 0.801 27.006
1 6 1.456 5.397 0.630 27.275
1 7 1.716 4.972 0.603 27.517
1 8 1.609 4.538 0.605 27.752
1 9 1.767 4.955 0.479 27.969
1 10 1.568 4.828 0.546 28.198
1 11 1.597 4.680 0.593 28.452
1 12 1.211 4.720 0.685 28.664
1 13 1.519 5.047 0.555 28.959
1 14 1.616 4.840 0.535 29.186
1 15 1.449 4.662 0.667 29.451
1 16 1.995 4.914 0.429 29.683
1 17 1.994 4.656 0.466 29.918
1 18 1.252 4.477 0.680 30.146
1 19 1.597 4.914 0.568 30.462
1 20 1.868 4.511 0.543 30.688
1 21 1.629 4.717 0.617 30.884
1 22 1.512 4.489 0.583 31.153
1 23 1.347 4.702 0.661 31.475
1 24 1.958 4.455 0.411 31.739
1 25 1.702 4.935 0.570 31.957
1 26 2.199 4.371 0.464 32.201
1 27 1.553 4.567 0.459 32.388
1 28 1.816 4.678 0.416 32.632
1 29 1.327 4.614 0.506 32.872
1 30 1.364 4.606 0.491 33.100
1 31 2.153 4.652 0.217 33.336
1 32 2.273 4.729 0.306 33.543
1 33 2.570 4.752 0.283 33.756
1 34 2.032 4.767 0.401 33.974
1 35 1.914 4.817 0.368 34.202
1 36 1.588 4.275 0.492 34.431
1 37 1.925 4.481 0.474 34.672
1 38 1.455 4.512 0.566 34.868
1 39 2.010 4.194 0.381 35.112
1 40 2.105 4.564 0.448 35.336
1 41 1.819 4.442 0.486 35.534
1 42 1.682 4.374 0.550 35.743
1 43 1.849 4.153 0.524 35.963
1 44 1.896 4.381 0.518 36.173
1 45 1.594 4.209 0.512 36.389
1 46 1.623 4.576 0.557 36.600
1 47 1.784 4.352 0.586 36.817
1 48 1.446 4.287 0.628 37.033
1 49 1.701 4.325 0.616 37.241
2 0 1.565 4.484 0.612 47.555
2 1 1.848 4.386 0.469 47.774
2 2 1.696 4.253 0.577 47.996
2 3 1.936 4.342 0.500 48.282
2 4 1.881 3.982 0.526 48.555
2 5 1.584 4.549 0.523 48.793
2 6 2.054 4.434 0.464 49.033
2 7 1.998 4.486 0.493 49.247
2 8 2.211 4.086 0.521 49.476
2 9 1.914 4.234 0.524 49.742
2 10 1.430 4.282 0.518 49.980
2 11 1.433 4.364 0.621 50.207
2 12 1.607 4.368 0.554 50.423
2 13 1.687 4.298 0.581 50.662
2 14 1.855 4.465 0.433 50.883
2 15 1.392 4.361 0.584 51.089
2 16 1.482 4.026 0.534 51.318
2 17 1.519 3.996 0.444 51.551
2 18 1.567 4.127 0.556 51.807
2 19 1.862 4.404 0.383 52.034
2 20 1.802 4.211 0.449 52.251
2 21 1.825 4.044 0.390 52.469
2 22 1.645 3.908 0.448 52.694
2 23 1.136 3.931 0.671 52.906
2 24 1.709 3.882 0.424 53.128
2 25 1.366 4.094 0.560 53.379
2 26 2.047 3.826 0.406 53.666
2 27 2.385 4.209 0.364 53.906
2 28 1.963 3.703 0.529 54.138
2 29 1.425 4.173 0.604 54.350
2 30 1.706 4.145 0.571 54.618
